city, state, code
Mont Joli, QC ,YYY
Montreal, QC - Dorval Rail service ,XAX
Montreal, QC - Downtown Rail service ,YMY
Montreal, QC - St Lambert Rail service ,XLM
Montreal, QC - all airports ,YMQ
Montreal, QC - Dorval ,YUL
Moosonee, ON ,YMO
Muskrat Dam, ON ,MSA
Nain, NL ,YDP
Nakina, ON ,YQN
Nanaimo, BC - Harbour Airport ,ZNA
Nanaimo, BC - Cassidy Airport ,YCD
Nanisivik, NU ,YSR
Napanee, ON - Rail service ,XIF
Natashquan, QC ,YNA
Nemiscau, QC ,YNS
New Carlisle, QC - Rail service ,XEL
New Richmond, QC - Rail service ,XEM
Niagara Falls, ON - Rail service ,XLV
Noranda/Rouyn, QC ,YUY
Norman Wells, NT ,YVQ
North Bay, ON ,YYB
North Spirit Lake, ON ,YNO
Norway House, MB ,YNE
Ogoki, ON ,YOG
Old Crow, YT ,YOC
Opapamiska Lake, ON ,YBS
Oshawa, ON ,YOO
Ottawa, ON - Rail service ,XDS
Ottawa, ON - International ,YOW
Oxford House, MB ,YOH
Pakuashipi, QC ,YIF
Pangnirtung, NU ,YXP
Parent, QC - Rail service ,XFE
Parksville, BC - Rail service ,XPB
Paulatuk, NT ,YPC
Peace River, AB ,YPE
Peawanuck, ON ,YPO
Pembroke, ON ,YTA
Penticton, BC ,YYF
Perce, QC - Rail service ,XFG
Pickle Lake, ON ,YPL
Pikangikum, ON ,YPM
Pointe-aux-Trembles, QC - Rail service ,XPX
Points North Landing, SK ,YNL
Pond Inlet, NU ,YIO
Poplar Hill, ON ,YHP
Port Alberni, BC ,YPB
Port Hardy, BC ,YZT
Port Hope Simpson, NL ,YHA
Port Meiner, QC ,YPN
Postville, NL ,YSO
Povungnituk, QC ,YPX
Powell River, BC ,YPW
Prescott, ON - Rail service ,XII
Prince Albert, SK ,YPA
Prince George, BC - Rail service ,XDV
Prince George, BC ,YXS
Prince Rupert, BC - Rail service ,XDW
Prince Rupert, BC - Digby Island Airport ,YPR
Pukatawagan, MB - ,XPK
Qikiqtarjuaq, NU ,YVM
Qualicum, BC ,XQU
Quaqtaq, QC ,YQC
Quebec, QC - International Airport ,YQB
Quebec, QC - Charny Rail service ,YFZ
Quebec, QC - Levis Rail service ,XLK
Quebec, QC - Quebec Station Rail service ,XLJ
Quebec, QC - Sainte-Foy Rail service ,XFY
Quesnel, BC ,YQZ
Rae Lakes, NT ,YRA
Rainbow Lake, AB ,YOP
Rankin Inlet, NU ,YRT
Red Lake, ON ,YRL
Red Sucker Lake, MB ,YRS
Regina, SK ,YQR
Repulse Bay, NU ,YUT
Resolute, NU ,YRB
Rigolet, NL ,YRG
Rimouski, QC ,YXK
Riviere-a-Pierre, QC - Rail service ,XRP
Roberval, QC ,YRJ
Round Lake, ON ,ZRJ
Rouyn/Noranda, QC ,YUY
Sachigo Lake, ON ,ZPB
Sachs Harbour, NT ,YSY
Sackville, NB - Rail service ,XKV
Saint Hyacinthe, QC - Rail service ,XIM
Saint John, NB ,YSJ
Saint Johns, NL ,YYT
Saint Leonard, NB ,YSL
Salluit, QC ,YZG
Sandy Lake, ON ,ZSJ
Sanikiluaq, NU ,YSK
Sarnia, ON - Rail service ,XDX
Sarnia, ON ,YZR
Saskatoon, SK ,YXE
Sault Ste-Marie, ON ,YAM
Schefferville, QC ,YKL
Senneterre, QC - Rail service ,XFK
Sept-Iles, QC ,YZV
Shamattawa, MB ,ZTM
Shawinigan, QC - Rail service ,XFL
Shawnigan, BC - Rail service ,XFM
Sioux Lookout, ON ,YXL
Smith Falls, ON ,YSH
Smithers, BC ,YYD
Snare Lake, NT ,YFJ
South Indian Lake, MB ,XSI
St Anthony, NL ,YAY
St Catharines, ON ,YCM
St Marys, ON - Rail service ,XIO
Ste Therese Point, MB ,YST
Stephenville, NL ,YJT
Stony Rapids, SK ,YSF
Strathroy, ON - Rail service ,XTY
Sudbury, ON - Rail service ,XDY
Sudbury, ON ,YSB
Summer Beaver, ON ,SUR
Swan River, MB ,ZJN
Sydney, NS ,YQY
Tadoule Lake, MB ,XTL
Taloyoak, NU ,YYH
Tasiujuaq, QC ,YTQ
Terrace, BC ,YXT
Tete-a-La Baleine, QC ,ZTB
The Pas, MB - Rail service ,XDZ
The Pas, MB ,YQD
Thicket Portage, MB ,YTD
Thompson, MB ,YTH
Thunder Bay, ON ,YQT
Timmins, ON ,YTS
Tofino, BC, ,YAZ
Toronto, ON - Downtown Rail service ,YBZ
Toronto, ON - Guildwood Rail service ,XLQ
Toronto, ON - Toronto Island Airport ,YTZ
Toronto, ON - International ,YYZ
Truro, NS - Rail service ,XLZ
Tuktoyaktuk, NT ,YUB
Tulita/Fort Norman, NT ,ZFN
Umiujag, QC ,YUD
Uranium City, SK ,YBE
Val-d'Or, QC ,YVO
Vancouver, BC - Coal Harbour ,CXH
Vancouver, BC - Rail service ,XEA
Vancouver, BC - International ,YVR
Victoria, BC - Inner Harbor ,YWH
Victoria, BC - International ,YYJ
Wabush, NL ,YWK
Waskaganish, QC ,YKQ
Watford, ON - Rail service ,XWA
Webequie, ON ,YWP
Wemindji, QC ,YNC
Weymont, QC - Rail service ,XFQ
Wha Ti/Lac La Martre, NT ,YLE
Whale Cove, NU ,YXN
White River, ON ,YWR
Whitehorse, YT ,YXY
Williams Harbour, NL ,YWM
Williams Lake, BC ,YWL
Windsor, ON - Rail service ,XEC
Windsor, ON ,YQG
Winnipeg, MB - Rail service ,XEF
Winnipeg, MB - International ,YWG
Wollaston Lake, SK ,ZWL
Woodstock, ON - Rail service ,XIP
Wunnummin Lake, ON ,WNN
Wyoming, ON - Rail service ,XWY
Yarmouth, NS ,YQI
Yellowknife, NT ,YZF
York Landing, MB ,ZAC 
